sample,FA,conc_ng-ul
DEME_05F0328_0035,8:0,4.54764654554136E-05
DEME_05F0328_0035,9:0,0.000141166528184513
DEME_05F0328_0035,10:0,4.8318744546377E-05
DEME_05F0328_0035,11:0,6.91621245467749E-05
DEME_05F0328_0035,11:1,0
DEME_05F0328_0035,12:0,0.000176221303639728
DEME_05F0328_0035,13:0,0
DEME_05F0328_0035,13:1,0
DEME_05F0328_0035,i-14:0,0
DEME_05F0328_0035,14:0,0.0478402942327315
DEME_05F0328_0035,14:1,0
DEME_05F0328_0035,14:1w5,0
DEME_05F0328_0035,i-15:0,0
DEME_05F0328_0035,a-15:0,0
DEME_05F0328_0035,15:0,0.00138797962275377
DEME_05F0328_0035,15:1w7,0
DEME_05F0328_0035,15:1w5,0
DEME_05F0328_0035,i-16:0,0
DEME_05F0328_0035,16:0,0.1414327549927
DEME_05F0328_0035,16:1w13,0
DEME_05F0328_0035,16:1w9,0
DEME_05F0328_0035,16:1w7t,0
DEME_05F0328_0035,16:1w8c,0
DEME_05F0328_0035,16:1w7c,0
DEME_05F0328_0035,16:1w6c,0.0122710662620524
DEME_05F0328_0035,16:1w5t,0
DEME_05F0328_0035,16:1w5c,0.0122814879520526
DEME_05F0328_0035,16:2w6,0
DEME_05F0328_0035,i-17:0,0
DEME_05F0328_0035,a-17:0,0
DEME_05F0328_0035,16:2w5,0.00464902116645239
DEME_05F0328_0035,16:2w4,0
DEME_05F0328_0035,17:0,0.000891528208198838
DEME_05F0328_0035,16:3w4,0
DEME_05F0328_0035,16:3w3,0
DEME_05F0328_0035,17:1w9c,0
DEME_05F0328_0035,17:1w7c,0
DEME_05F0328_0035,16:4w3,0.000565613539101707
DEME_05F0328_0035,16:4w1,0.000548559864555927
DEME_05F0328_0035,17:2,0
DEME_05F0328_0035,18:0,0.0182227986785297
DEME_05F0328_0035,18:1w9t,0
DEME_05F0328_0035,18:1w9c,0.11623595085131
DEME_05F0328_0035,18:1w8c,0
DEME_05F0328_0035,18:1w7c,0
DEME_05F0328_0035,18:1w5c,0
DEME_05F0328_0035,18:1w6c,0
DEME_05F0328_0035,"18:2w7,12c",0
DEME_05F0328_0035,18:2w6t,0
DEME_05F0328_0035,18:2w6c,0.0627101510102881
DEME_05F0328_0035,18:2w3,0
DEME_05F0328_0035,18:2,0
DEME_05F0328_0035,18:3w6,0.00479397740009152
DEME_05F0328_0035,18:3w4,0
DEME_05F0328_0035,19:0,0.235802105370865
DEME_05F0328_0035,18:3w3,0.0630303811212033
DEME_05F0328_0035,18:4w3c,0.0849746705561677
DEME_05F0328_0035,18:4w1,0
DEME_05F0328_0035,18:5w3,0
DEME_05F0328_0035,20:0,0.00895696884198918
DEME_05F0328_0035,20:1w11,0
DEME_05F0328_0035,20:1w9,0
DEME_05F0328_0035,20:1w7,0
DEME_05F0328_0035,20:1w5,0
DEME_05F0328_0035,20:2w6,0.00250878501095699
DEME_05F0328_0035,20:3n7,0
DEME_05F0328_0035,20:3w6,0.00426436606280868
DEME_05F0328_0035,20:4w6,0.223967802662458
DEME_05F0328_0035,20:3w3,0.0016826292218503
DEME_05F0328_0035,20:4w3,0.00749793224196132
DEME_05F0328_0035,20:5w3,0.178804935333414
DEME_05F0328_0035,21:0,0
DEME_05F0328_0035,22:0,0
DEME_05F0328_0035,22:1w9c,0
DEME_05F0328_0035,22:1w7c,0
DEME_05F0328_0035,22:2w6,0
DEME_05F0328_0035,21:5w3,0
DEME_05F0328_0035,23:0,0
DEME_05F0328_0035,22:4w6,0
DEME_05F0328_0035,22:5w6,0
DEME_05F0328_0035,22:3w6,0
DEME_05F0328_0035,22:6w4,0
DEME_05F0328_0035,22:5w3,0
DEME_05F0328_0035,22:6w3,0
DEME_05F0328_0035,24:0,0
DEME_05F0328_0035,24:1,0
DEME_05F0328_0035,24:1w9,0
DEME_05F0328_0035,26:0,0
DEME_05F0328_0035,26:4w2,0
DEME_05F0328_0035,27:0,0
DEME_05F0328_0035,28:0,0
DEME_05F0328_0035,29:0,0
